Article Name,Number of Documents,Super Nodes,Sub Nodes,Perplexity,Coherence,Training Iterations, Time taken
Topic Modeling: Beyond bag of words,150,25,170,46.5288004807151,-8.76396272593567,200,
Intractive Topic Modeling,2000,20,200,6357.23933356545,-7.03755281913766,100,370.123653173447
Topic Modeling beyond bag of words,100,20,50,23.5533962483039,-9.35793853060659,200,1.11654567718506
Interactive Topic modeling - part 2,2000,20,120,3108.65258155214,-4.87949798444435,200,329.456763505936
Interactive Topic modeling - part 2,2000,20,200,2919.91921470934,-7.30298309832923,100,351.203159093857
Custom parameters,1000,5,200,727.159855851822,-10.1414701871641,2000,655.857778310776
Custom 5,150,25,170,44.7455993456679,-3.2982765007187,200,7.69911456108093
Custom 6,1000,25,170,1191.97327216165,-5.60909998529838,200,310.877667427063
Custom 7,2000,25,100,3557.66696940414,-5.14811220771021,200,354.197796821594
Custom 8,2000,25,100,1975.88442562868,-5.94884332565387,1000,1767.56129455566
Custom 9,2000,50,100,1939.54443864924,-5.37780393969449,1000,3493.55228114128
Custom 12,2000,7,200,1210.20549274596,-7.78144764263106,1000,909.359784841538
Custom 13,2000,7,200,1170.83354115957,-6.24712765126172,2000,2176.38706731796
Custom 14,2000,5,200,1194.26522741018,-9.46390716745432,2000,1616.42472028732
Custom 15,2000,7,300,1019.14242452991,-14.0311872872348,2000,2939.65723419189
Custom 16,2000,7,300,998.605722642044,-11.0220582431414,2000,2967.32683205605
LDA,,,,,,,
LDA 1,2000,7,300,9669.75022012755,-5.53719,2000,3497.75241971016
LDA 3,2000,7,350,11116.177070671,-3.08165,2000,3401.41396212578
LDA 5,2000,7,500,15833.1816099919,-1.63699,2000,4681.74992513657
